time,station,bewd_i,bewd_i_flag,bewd_ii,bewd_ii_flag,bewd_iii,bewd_iii_flag,bewm_i,bewm_i_flag,bewm_ii,bewm_ii_flag,bewm_iii,bewm_iii_flag,bewm_mittel,bewm_mittel_flag,bft6,bft6_flag,bft8,bft8_flag,cglo_j,cglo_j_flag,dampf_i,dampf_i_flag,dampf_ii,dampf_ii_flag,dampf_iii,dampf_iii_flag,dampf_mittel,dampf_mittel_flag,dd32_i,dd32_i_flag,dd32_ii,dd32_ii_flag,dd32_iii,dd32_iii_flag,erdb_i,erdb_i_flag,erdb_ii,erdb_ii_flag,erdb_iii,erdb_iii_flag,ffx,ffx_flag,gew,gew_flag,glatt,glatt_flag,nebel,nebel_flag,p_i,p_i_flag,p_ii,p_ii_flag,p_iii,p_iii_flag,p_mittel,p_mittel_flag,raureif,raureif_flag,reif,reif_flag,rfb_i,rfb_i_flag,rfb_ii,rfb_ii_flag,rfb_iii,rfb_iii_flag,rfb_mittel,rfb_mittel_flag,rf_i,rf_i_flag,rf_ii,rf_ii_flag,rf_iii,rf_iii_flag,rf_mittel,rf_mittel_flag,rr,rra_manu,rra_manu_flag,rra_manu_i,rra_manu_i_flag,rra_manu_iii,rra_manu_iii_flag,rr_flag,rr_i,rr_i_flag,rr_iii,rr_iii_flag,sh,sha_manu,sha_manu_flag,sh_flag,sh_manu,sh_manu_flag,shneu_manu,shneu_manu_flag,sicht_i,sicht_i_flag,sicht_ii,sicht_ii_flag,sicht_iii,sicht_iii_flag,so_h,so_h_flag,tau,tau_flag,tl_i,tl_i_flag,tl_ii,tl_ii_flag,tl_iii,tl_iii_flag,tlmax,tlmax_flag,tlmin,tlmin_flag,tl_mittel,tl_mittel_flag,tsmin,tsmin_flag,vvbft_i,vvbft_i_flag,vvbft_ii,vvbft_ii_flag,vvbft_iii,vvbft_iii_flag,vv_mittel,vv_mittel_flag,zeitx,zeitx_flag,substation
2000-01-01T00:00+00:00,30,1.0,20,1.0,20.0,1.0,20.0,10.0,20,9.0,20.0,10.0,20.0,97.0,20,0.0,,0.0,,300.0,20,4.0,20,4.4,20.0,4.6,20.0,4.3,20.0,8.0,20,20.0,20,12.0,20,7.0,20,7.0,20.0,7.0,20.0,4.7,20,0.0,,0.0,,0.0,,980.1,20,979.2,20.0,978.6,20.0,979.3,20.0,0.0,,1.0,,,,,,,,,,89,20,73.0,20.0,79.0,20.0,80.0,20.0,0.0,2.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,3.0,20,,11.0,20,-1.0,20,20000.0,20,15000.0,20.0,10000.0,20.0,0.0,20,0.0,,-4.1,20,-0.1,20.0,-0.6,20.0,0.5,20.0,-5.8,20.0,-2.7,20.0,-8.0,20,1.0,20,1.0,20,1.0,20,1.0,20,105.0,20,16412
2000-01-02T00:00+00:00,30,1.0,20,1.0,20.0,1.0,20.0,10.0,20,8.0,20.0,10.0,20.0,93.0,20,0.0,,0.0,,250.0,20,4.6,20,5.8,20.0,5.6,20.0,5.3,20.0,12.0,20,16.0,20,20.0,20,7.0,20,7.0,20.0,7.0,20.0,3.6,20,0.0,,0.0,,0.0,,979.6,20,982.2,20.0,984.4,20.0,982.1,20.0,0.0,,0.0,,,,,,,,,,88,20,82.0,20.0,88.0,20.0,86.0,20.0,0.0,2.0,20.0,2.0,20,2.0,20.0,20.0,0.0,20,0.0,20.0,,3.0,20,,11.0,20,0.0,20,10000.0,20,10000.0,20.0,8000.0,20.0,0.3,20,0.0,,-2.0,20,2.1,20.0,0.6,20.0,2.5,20.0,-2.1,20.0,0.2,20.0,-2.7,20,1.0,20,1.0,20,1.0,20,1.0,20,1556.0,20,16412
2000-01-03T00:00+00:00,30,1.0,20,1.0,20.0,1.0,20.0,9.0,20,9.0,20.0,8.0,20.0,87.0,20,0.0,,0.0,,598.0,20,4.9,20,5.6,20.0,5.2,20.0,5.2,20.0,32.0,20,20.0,20,4.0,20,7.0,20,7.0,20.0,7.0,20.0,3.6,20,0.0,,0.0,,0.0,,983.5,20,980.3,20.0,980.3,20.0,981.4,20.0,0.0,,1.0,,,,,,,,,,95,20,72.0,20.0,92.0,20.0,86.0,20.0,-1,0.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,3.0,20,,11.0,20,-1.0,20,30000.0,20,20000.0,20.0,20000.0,20.0,4.0,20,0.0,,-2.4,20,3.4,20.0,-1.1,20.0,3.6,20.0,-2.4,20.0,0.6,20.0,-2.4,20,1.0,20,1.0,20,1.0,20,1.0,20,1037.0,20,16412
2000-01-04T00:00+00:00,30,1.0,20,1.0,20.0,0.0,20.0,9.0,20,2.0,20.0,2.0,20.0,43.0,20,0.0,,0.0,,619.0,20,4.1,20,5.0,20.0,4.7,20.0,4.6,20.0,4.0,20,16.0,20,4.0,20,7.0,20,7.0,20.0,7.0,20.0,2.8,20,0.0,,0.0,,0.0,,978.7,20,977.3,20.0,978.1,20.0,978.0,20.0,0.0,,1.0,,,,,,,,,,96,20,63.0,20.0,91.0,20.0,83.0,20.0,-1,0.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,3.0,20,,10.0,20,-1.0,20,15000.0,20,25000.0,20.0,15000.0,20.0,7.7,20,0.0,,-5.0,20,3.6,20.0,-2.3,20.0,4.5,20.0,-5.5,20.0,-0.5,20.0,-6.8,20,1.0,20,1.0,20,1.0,20,1.0,20,12.0,20,16412
2000-01-05T00:00+00:00,30,1.0,20,1.0,20.0,1.0,20.0,9.0,20,6.0,20.0,2.0,20.0,57.0,20,0.0,,0.0,,463.0,20,4.3,20,5.4,20.0,5.8,20.0,5.2,20.0,8.0,20,16.0,20,4.0,20,7.0,20,6.0,20.0,6.0,20.0,4.0,20,0.0,,0.0,,0.0,,976.1,20,977.0,20.0,978.7,20.0,977.3,20.0,0.0,,1.0,,,,,,,,,,94,20,69.0,20.0,90.0,20.0,84.0,20.0,-1,0.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,3.0,20,,10.0,20,-1.0,20,15000.0,20,15000.0,20.0,15000.0,20.0,3.4,20,0.0,,-3.9,20,3.5,20.0,0.8,20.0,5.4,20.0,-5.5,20.0,-0.1,20.0,-7.1,20,1.0,20,1.0,20,1.0,20,1.0,20,1859.0,20,16412
2000-01-06T00:00+00:00,30,,20,,20.0,,20.0,0.0,20,0.0,20.0,0.0,20.0,0.0,20,0.0,,0.0,,592.0,20,4.0,20,5.6,20.0,5.1,20.0,4.9,20.0,32.0,20,16.0,20,4.0,20,6.0,20,6.0,20.0,6.0,20.0,3.3,20,0.0,,0.0,,0.0,,978.9,20,977.8,20.0,978.9,20.0,978.5,20.0,0.0,,1.0,,,,,,,,,,97,20,69.0,20.0,92.0,20.0,86.0,20.0,-1,0.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,2.0,20,,10.0,20,-1.0,20,30000.0,20,30000.0,20.0,30000.0,20.0,7.8,20,0.0,,-5.2,20,3.9,20.0,-1.4,20.0,4.8,20.0,-5.3,20.0,-0.3,20.0,-7.0,20,1.0,20,1.0,20,1.0,20,1.0,20,1328.0,20,16412
2000-01-07T00:00+00:00,30,1.0,20,1.0,20.0,,20.0,1.0,20,1.0,20.0,0.0,20.0,7.0,20,0.0,,0.0,,515.0,20,3.7,20,5.2,20.0,4.9,20.0,4.6,20.0,12.0,20,16.0,20,4.0,20,6.0,20,6.0,20.0,6.0,20.0,2.8,20,0.0,,0.0,,0.0,,981.1,20,980.6,20.0,981.6,20.0,981.1,20.0,0.0,,1.0,,,,,,,,,,95,20,76.0,20.0,91.0,20.0,87.0,20.0,-1,0.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,2.0,20,,10.0,20,-1.0,20,30000.0,20,20000.0,20.0,15000.0,20.0,5.8,20,0.0,,-6.2,20,1.6,20.0,-1.8,20.0,2.7,20.0,-6.6,20.0,-2.0,20.0,-7.5,20,1.0,20,1.0,20,1.0,20,1.0,20,1359.0,20,16412
2000-01-08T00:00+00:00,30,2.0,20,1.0,20.0,2.0,20.0,10.0,20,6.0,20.0,10.0,20.0,87.0,20,0.0,,0.0,,391.0,20,3.6,20,4.2,20.0,4.0,20.0,3.9,20.0,16.0,20,20.0,20,4.0,20,6.0,20,6.0,20.0,6.0,20.0,3.1,20,0.0,,0.0,,1.0,,980.8,20,980.1,20.0,981.2,20.0,980.7,20.0,1.0,,1.0,,,,,,,,,,100,20,87.0,20.0,100.0,20.0,96.0,20.0,0.0,3.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,2.0,20,,10.0,20,-1.0,20,100.0,20,1800.0,20.0,400.0,20.0,2.7,20,0.0,,-6.9,20,-3.1,20.0,-5.7,20.0,-1.8,20.0,-6.9,20.0,-4.4,20.0,-7.0,20,1.0,20,1.0,20,1.0,20,1.0,20,1426.0,20,16412
2000-01-09T00:00+00:00,30,2.0,20,2.0,20.0,2.0,20.0,10.0,20,10.0,20.0,10.0,20.0,100.0,20,0.0,,0.0,,132.0,20,3.8,20,4.2,20.0,4.2,20.0,4.1,20.0,16.0,20,16.0,20,12.0,20,6.0,20,6.0,20.0,6.0,20.0,3.1,20,0.0,,0.0,,1.0,,980.3,20,980.0,20.0,980.9,20.0,980.4,20.0,1.0,,1.0,,,,,,,,,,100,20,99.0,20.0,99.0,20.0,99.0,20.0,0.0,3.0,20.0,3.0,20,3.0,20.0,20.0,0.0,20,0.0,20.0,,2.0,20,,10.0,20,-1.0,20,100.0,20,900.0,20.0,1500.0,20.0,0.0,20,0.0,,-6.3,20,-5.0,20.0,-4.8,20.0,-4.7,20.0,-6.4,20.0,-5.6,20.0,-6.0,20,1.0,20,1.0,20,1.0,20,1.0,20,707.0,20,16412
2000-01-10T00:00+00:00,30,1.0,20,1.0,20.0,2.0,20.0,10.0,20,9.0,20.0,10.0,20.0,97.0,20,0.0,,0.0,,231.0,20,4.3,20,5.1,20.0,5.3,20.0,4.9,20.0,32.0,20,28.0,20,32.0,20,6.0,20,6.0,20.0,6.0,20.0,3.5,20,0.0,,0.0,,0.0,,984.9,20,986.5,20.0,988.4,20.0,986.6,20.0,1.0,,0.0,,,,,,,,,,92,20,81.0,20.0,87.0,20.0,87.0,20.0,0.0,2.0,20.0,0.0,20,2.0,20.0,20.0,-1,20,0.0,20.0,,2.0,20,,10.0,20,-1.0,20,3500.0,20,5000.0,20.0,3000.0,20.0,0.0,20,0.0,,-3.7,20,0.5,20.0,-0.1,20.0,0.6,20.0,-4.9,20.0,-2.2,20.0,-4.6,20,1.0,20,1.0,20,1.0,20,1.0,20,1117.0,20,16412
2000-01-11T00:00+00:00,30,2.0,20,1.0,20.0,1.0,20.0,10.0,20,10.0,20.0,10.0,20.0,100.0,20,0.0,,0.0,,183.0,20,5.7,20,5.4,20.0,5.5,20.0,5.5,20.0,16.0,20,20.0,20,32.0,20,6.0,20,6.0,20.0,6.0,20.0,3.5,20,0.0,,0.0,,0.0,,990.6,20,991.2,20.0,991.9,20.0,991.2,20.0,0.0,,0.0,,,,,,,,,,96,20,82.0,20.0,88.0,20.0,89.0,20.0,0.0,8.0,20.0,2.0,20,8.0,20.0,20.0,0.0,20,0.0,20.0,,2.0,20,,10.0,20,0.0,20,1500.0,20,6000.0,20.0,6000.0,20.0,0.0,20,0.0,,-0.5,20,1.0,20.0,0.3,20.0,1.3,20.0,-0.6,20.0,0.4,20.0,-1.4,20,1.0,20,1.0,20,1.0,20,1.0,20,1144.0,20,16412
2000-01-12T00:00+00:00,30,1.0,20,1.0,20.0,1.0,20.0,10.0,20,9.0,20.0,10.0,20.0,97.0,20,0.0,,0.0,,464.0,20,4.8,20,5.0,20.0,4.9,20.0,4.9,20.0,4.0,20,16.0,20,12.0,20,6.0,20,6.0,20.0,6.0,20.0,5.3,20,0.0,,0.0,,0.0,,989.9,20,988.2,20.0,987.7,20.0,988.6,20.0,0.0,,1.0,,,,,,,,,,90,20,84.0,20.0,86.0,20.0,87.0,20.0,-1,0.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,2.0,20,,10.0,20,-1.0,20,10000.0,20,6000.0,20.0,4000.0,20.0,2.1,20,0.0,,-2.0,20,-0.4,20.0,-1.1,20.0,2.2,20.0,-2.1,20.0,0.1,20.0,-3.2,20,1.0,20,2.0,20,1.0,20,1.5,20,1308.0,20,16412
