EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 24-03-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : minimum temperature in 0.1 &#176;C
30-34 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 102142) of AUSTRIA, GRAZ-UNIVERSITAET (STAID: 12)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TN, Q_TN
    12,102142,18940101, -110,    0
    12,102142,18940102,  -87,    0
    12,102142,18940103, -118,    0
    12,102142,18940104, -156,    0
    12,102142,18940105, -119,    0
    12,102142,18940106, -113,    0
    12,102142,18940107, -116,    0
    12,102142,18940108,  -67,    0
    12,102142,18940109,  -54,    0
    12,102142,18940110,  -54,    0
    12,102142,18940111,  -46,    0
    12,102142,18940112, -125,    0
    12,102142,18940113, -162,    0
    12,102142,18940114, -144,    0
    12,102142,18940115, -182,    0
    12,102142,18940116, -160,    0
    12,102142,18940117, -149,    0
    12,102142,18940118,  -87,    0
    12,102142,18940119,  -93,    0
    12,102142,18940120,   -3,    0
    12,102142,18940121,  -28,    0
    12,102142,18940122,  -61,    0
    12,102142,18940123,  -54,    0
    12,102142,18940124,   -6,    0
    12,102142,18940125,    0,    0
    12,102142,18940126,   -4,    0
    12,102142,18940127,   -2,    0
    12,102142,18940128,  -30,    0
    12,102142,18940129,  -32,    0
    12,102142,18940130,  -27,    0
    12,102142,18940131,  -27,    0
    12,102142,18940201,  -18,    0
    12,102142,18940202,  -22,    0
    12,102142,18940203,  -19,    0
    12,102142,18940204,   -2,    0
    12,102142,18940205,  -24,    0
    12,102142,18940206,  -12,    0
    12,102142,18940207,  -42,    0
    12,102142,18940208,   -2,    0
    12,102142,18940209,    3,    1
    12,102142,18940210,   -5,    0
    12,102142,18940211,  -18,    0
    12,102142,18940212,   -5,    0
    12,102142,18940213,    0,    0
    12,102142,18940214,  -31,    0
    12,102142,18940215,  -52,    0
    12,102142,18940216,  -43,    0
    12,102142,18940217,  -58,    0
    12,102142,18940218,  -81,    0
    12,102142,18940219,  -70,    0
    12,102142,18940220, -107,    0
    12,102142,18940221,  -72,    0
    12,102142,18940222, -114,    0
    12,102142,18940223, -101,    0
    12,102142,18940224,  -82,    0
    12,102142,18940225,  -22,    0
    12,102142,18940226,  -15,    0
    12,102142,18940227,   -2,    0
    12,102142,18940228,   -9,    0
    12,102142,18940301,   -4,    0
    12,102142,18940302,  -31,    0
    12,102142,18940303,  -32,    0
    12,102142,18940304,  -15,    0
    12,102142,18940305,   18,    1
    12,102142,18940306,  -35,    0
    12,102142,18940307,   -5,    0
    12,102142,18940308,  -16,    0
    12,102142,18940309,  -24,    0
    12,102142,18940310,    3,    1
    12,102142,18940311,   10,    1
    12,102142,18940312,   -3,    0
    12,102142,18940313,   44,    1
    12,102142,18940314,   21,    1
    12,102142,18940315,   27,    1
    12,102142,18940316,  -15,    0
    12,102142,18940317,   -3,    0
    12,102142,18940318,    0,    0
    12,102142,18940319,  -20,    0
    12,102142,18940320,   -4,    0
    12,102142,18940321,   -4,    0
    12,102142,18940322,  -21,    0
    12,102142,18940323,  -20,    0
    12,102142,18940324,    0,    0
    12,102142,18940325,  -29,    0
    12,102142,18940326,   -5,    0
    12,102142,18940327,  -24,    0
    12,102142,18940328,  -21,    0
    12,102142,18940329,    1,    1
    12,102142,18940330,   -3,    0
    12,102142,18940331,  -21,    0
    12,102142,18940401,  -21,    0
    12,102142,18940402,   -6,    0
    12,102142,18940403,    5,    1
    12,102142,18940404,   11,    1
    12,102142,18940405,   21,    1
    12,102142,18940406,   47,    1
    12,102142,18940407,   32,    1
    12,102142,18940408,   37,    1
    12,102142,18940409,   44,    1
    12,102142,18940410,   17,    1
    12,102142,18940411,   23,    1
    12,102142,18940412,    6,    1
    12,102142,18940413,   62,    1
    12,102142,18940414,   70,    1
    12,102142,18940415,   58,    1
    12,102142,18940416,   42,    1
    12,102142,18940417,   68,    1
    12,102142,18940418,   98,    1
    12,102142,18940419,   44,    1
    12,102142,18940420,   33,    1
    12,102142,18940421,   91,    1
    12,102142,18940422,   90,    1
    12,102142,18940423,   71,    1
    12,102142,18940424,   53,    1
    12,102142,18940425,   65,    1
    12,102142,18940426,   70,    1
    12,102142,18940427,   77,    1
    12,102142,18940428,  113,    1
    12,102142,18940429,  111,    1
    12,102142,18940430,   88,    1
    12,102142,18940501,   91,    1
    12,102142,18940502,   84,    1
    12,102142,18940503,   59,    1
    12,102142,18940504,   97,    1
    12,102142,18940505,   27,    1
    12,102142,18940506,   -7,    0
    12,102142,18940507,   25,    1
    12,102142,18940508,   98,    1
    12,102142,18940509,   62,    1
    12,102142,18940510,   45,    1
    12,102142,18940511,   81,    1
    12,102142,18940512,  107,    1
    12,102142,18940513,  104,    1
    12,102142,18940514,  128,    1
    12,102142,18940515,   88,    1
    12,102142,18940516,   91,    1
    12,102142,18940517,  106,    1
    12,102142,18940518,   97,    1
    12,102142,18940519,  105,    1
    12,102142,18940520,   89,    1
    12,102142,18940521,   97,    1
    12,102142,18940522,   86,    1
    12,102142,18940523,   71,    1
    12,102142,18940524,  138,    1
    12,102142,18940525,  141,    1
    12,102142,18940526,   91,    1
    12,102142,18940527,  100,    1
    12,102142,18940528,   79,    1
    12,102142,18940529,   68,    1
    12,102142,18940530,   83,    1
    12,102142,18940531,   74,    1
    12,102142,18940601,  112,    1
    12,102142,18940602,   68,    1
    12,102142,18940603,  110,    1
    12,102142,18940604,  120,    1
    12,102142,18940605,  150,    1
    12,102142,18940606,  133,    1
    12,102142,18940607,  147,    1
    12,102142,18940608,  128,    1
    12,102142,18940609,  100,    1
    12,102142,18940610,   57,    1
    12,102142,18940611,  120,    1
    12,102142,18940612,   93,    1
    12,102142,18940613,   49,    1
    12,102142,18940614,   93,    1
    12,102142,18940615,   82,    1
    12,102142,18940616,   77,    1
    12,102142,18940617,   74,    1
    12,102142,18940618,  135,    1
    12,102142,18940619,  118,    1
    12,102142,18940620,  134,    1
    12,102142,18940621,   65,    1
    12,102142,18940622,  121,    1
    12,102142,18940623,   74,    1
    12,102142,18940624,  105,    1
    12,102142,18940625,  139,    1
    12,102142,18940626,  158,    1
    12,102142,18940627,  138,    1
    12,102142,18940628,   66,    1
    12,102142,18940629,  103,    1
    12,102142,18940630,   96,    1
    12,102142,18940701,  109,    1
    12,102142,18940702,  115,    1
    12,102142,18940703,  127,    1
    12,102142,18940704,  142,    1
    12,102142,18940705,  151,    1
    12,102142,18940706,  166,    1
    12,102142,18940707,  145,    1
    12,102142,18940708,  146,    1
    12,102142,18940709,  141,    1
    12,102142,18940710,  156,    1
    12,102142,18940711,  147,    1
    12,102142,18940712,  123,    1
    12,102142,18940713,  135,    1
    12,102142,18940714,  136,    1
    12,102142,18940715,  148,    1
    12,102142,18940716,  111,    1
    12,102142,18940717,  104,    1
    12,102142,18940718,  129,    1
    12,102142,18940719,  141,    1
    12,102142,18940720,  125,    1
    12,102142,18940721,   99,    1
    12,102142,18940722,  111,    1
    12,102142,18940723,  119,    1
    12,102142,18940724,  150,    1
    12,102142,18940725,  187,    1
    12,102142,18940726,  175,    1
    12,102142,18940727,  180,    1
    12,102142,18940728,  148,    1
    12,102142,18940729,  111,    1
    12,102142,18940730,  113,    1
    12,102142,18940731,  155,    1
    12,102142,18940801,  134,    1
    12,102142,18940802,  110,    1
    12,102142,18940803,  115,    1
    12,102142,18940804,  114,    1
    12,102142,18940805,   98,    1
    12,102142,18940806,  106,    1
    12,102142,18940807,  118,    1
    12,102142,18940808,  149,    1
    12,102142,18940809,  152,    1
    12,102142,18940810,  156,    1
    12,102142,18940811,  122,    1
    12,102142,18940812,   75,    1
    12,102142,18940813,   75,    1
    12,102142,18940814,   98,    1
    12,102142,18940815,  116,    1
    12,102142,18940816,  108,    1
    12,102142,18940817,  135,    1
    12,102142,18940818,   73,    1
    12,102142,18940819,  100,    1
    12,102142,18940820,   57,    1
    12,102142,18940821,  100,    1
    12,102142,18940822,   53,    1
    12,102142,18940823,   86,    1
    12,102142,18940824,  131,    1
    12,102142,18940825,  143,    1
    12,102142,18940826,  156,    1
    12,102142,18940827,  175,    1
    12,102142,18940828,  159,    1
    12,102142,18940829,  143,    1
    12,102142,18940830,  133,    1
    12,102142,18940831,   90,    1
    12,102142,18940901,   84,    1
    12,102142,18940902,  128,    1
    12,102142,18940903,  138,    1
    12,102142,18940904,  137,    1
    12,102142,18940905,   97,    1
    12,102142,18940906,  121,    1
    12,102142,18940907,   90,    1
    12,102142,18940908,   43,    1
    12,102142,18940909,   91,    1
    12,102142,18940910,   71,    1
    12,102142,18940911,   36,    1
    12,102142,18940912,   32,    1
    12,102142,18940913,   65,    1
    12,102142,18940914,   52,    1
    12,102142,18940915,   41,    1
    12,102142,18940916,   39,    1
    12,102142,18940917,   44,    1
    12,102142,18940918,   82,    1
    12,102142,18940919,   76,    1
    12,102142,18940920,   68,    1
